id,item,item.type,statement,statement.rt,agreement,strength,argument,argument.rt,word.count,gender,age
R_1Hdd8rFoWM32MIy,I10x,critical,1,1.82,agree,fully,3,3.519,181,2,30
R_1Hdd8rFoWM32MIy,I11x,critical,2,7.716,agree,somewhat,2,6.126,153,2,30
R_1Hdd8rFoWM32MIy,I12x,critical,2,5.112,agree,somewhat,2,2.774,237,2,30
R_1Hdd8rFoWM32MIy,I13x,critical,1,3.2,agree,fully,3,4.302,218,2,30
R_1Hdd8rFoWM32MIy,I14x,critical,2,3.901,agree,somewhat,1,3.039,184,2,30
R_1Hdd8rFoWM32MIy,I15x,critical,2,2.855,agree,somewhat,2,4.195,216,2,30
R_1Hdd8rFoWM32MIy,I16x,critical,1,4.95,agree,fully,3,4.622,235,2,30
R_1Hdd8rFoWM32MIy,I17x,critical,1,1.402,agree,fully,3,4.34,212,2,30
R_1Hdd8rFoWM32MIy,I18x,critical,1,2.633,agree,fully,3,8.327,201,2,30
R_1Hdd8rFoWM32MIy,F1x,filler,1,3.89,filler,filler,3,3.818,217,2,30
R_1Hdd8rFoWM32MIy,F2x,filler,3,3.011,filler,filler,3,4.838,300,2,30
R_1Hdd8rFoWM32MIy,F3x,filler,2,2.059,filler,filler,2,5.724,191,2,30
R_1Hdd8rFoWM32MIy,F4x,filler,1,3.16,filler,filler,1,3.799,304,2,30
R_1Hdd8rFoWM32MIy,F5x,filler,2,2.856,filler,filler,3,4.077,296,2,30
R_1Hdd8rFoWM32MIy,F6x,filler,2,4.44,filler,filler,3,4.327,298,2,30
R_1Hdd8rFoWM32MIy,F7x,filler,3,2.701,filler,filler,3,3.953,298,2,30
R_1Hdd8rFoWM32MIy,F8x,filler,2,3.741,filler,filler,3,2.98,233,2,30
R_1Hdd8rFoWM32MIy,F9x,filler,3,6.188,filler,filler,3,3.192,265,2,30
R_1Hdd8rFoWM32MIy,F10x,filler,2,3.001,filler,filler,1,4.911,246,2,30
R_1Hdd8rFoWM32MIy,F11x,filler,2,3.057,filler,filler,3,3.487,209,2,30
R_1Hdd8rFoWM32MIy,F12x,filler,2,5.576,filler,filler,3,6.721,221,2,30
R_1Hdd8rFoWM32MIy,F13x,filler,3,5.6,filler,filler,3,8.674,264,2,30
R_1Hdd8rFoWM32MIy,F14x,filler,3,7.744,filler,filler,3,3.694,321,2,30
R_1Hdd8rFoWM32MIy,F15x,filler,3,2.94,filler,filler,2,6.439,240,2,30
R_1Hdd8rFoWM32MIy,F16x,filler,4,5.892,filler,filler,3,4.9,295,2,30
R_1Hdd8rFoWM32MIy,F17x,filler,2,5.367,filler,filler,3,14.697,321,2,30
R_1Hdd8rFoWM32MIy,F18x,filler,3,3.195,filler,filler,3,4.951,235,2,30
R_1Hdd8rFoWM32MIy,F19x,filler,4,2.337,filler,filler,3,5.971,208,2,30
R_1Hdd8rFoWM32MIy,F20x,filler,3,3.557,filler,filler,3,4.318,297,2,30
R_1Hdd8rFoWM32MIy,F21x,filler,2,5.488,filler,filler,3,3.623,311,2,30
R_1Hdd8rFoWM32MIy,F22x,filler,2,2.402,filler,filler,3,7.47,325,2,30
R_1Hdd8rFoWM32MIy,F23x,filler,1,4.107,filler,filler,3,4.684,259,2,30
R_1Hdd8rFoWM32MIy,F24x,filler,2,3.101,filler,filler,3,3.388,339,2,30
R_1GIAxnek1Y1FYxU,I1x,critical,4,2.802,disagree,fully,2,17.527,232,2,30
R_1GIAxnek1Y1FYxU,I2x,critical,4,3.52,disagree,fully,3,5.534,194,2,30
R_1GIAxnek1Y1FYxU,I3x,critical,4,4.612,disagree,fully,3,5.856,239,2,30
R_1GIAxnek1Y1FYxU,I4x,critical,2,2.118,agree,somewhat,3,2.666,205,2,30
R_1GIAxnek1Y1FYxU,I5x,critical,1,2.9,agree,fully,3,6.71,193,2,30
R_1GIAxnek1Y1FYxU,I6x,critical,2,3.137,agree,somewhat,3,3.763,218,2,30
R_1GIAxnek1Y1FYxU,I7x,critical,1,1.579,agree,fully,3,0,221,2,30
R_1GIAxnek1Y1FYxU,I8x,critical,1,3.233,agree,fully,3,3.946,191,2,30
R_1GIAxnek1Y1FYxU,I9x,critical,1,2.122,agree,fully,3,3.103,175,2,30
R_1GIAxnek1Y1FYxU,I10x,critical,1,3.551,agree,fully,3,1.87,181,2,30
R_1GIAxnek1Y1FYxU,I11x,critical,1,2.173,agree,fully,3,2.378,153,2,30
R_1GIAxnek1Y1FYxU,I12x,critical,2,4.921,agree,somewhat,2,4.41,237,2,30
R_1GIAxnek1Y1FYxU,I13x,critical,3,5.169,disagree,somewhat,3,4.624,278,2,30
R_1GIAxnek1Y1FYxU,I14x,critical,4,3.3,disagree,fully,2,4.392,199,2,30
R_1GIAxnek1Y1FYxU,I15x,critical,1,2.729,agree,fully,3,2.816,216,2,30
R_1GIAxnek1Y1FYxU,I16x,critical,1,3.293,agree,fully,3,4.097,235,2,30
R_1GIAxnek1Y1FYxU,I17x,critical,1,2.252,agree,fully,2,3.337,212,2,30
R_1GIAxnek1Y1FYxU,I18x,critical,1,2.556,agree,fully,3,2.429,201,2,30
R_1GIAxnek1Y1FYxU,F1x,filler,3,2.885,filler,filler,3,1.797,211,2,30
R_1GIAxnek1Y1FYxU,F2x,filler,1,4.372,filler,filler,1,20.816,220,2,30
R_1GIAxnek1Y1FYxU,F3x,filler,2,3.018,filler,filler,2,7.199,191,2,30
R_1GIAxnek1Y1FYxU,F4x,filler,1,3.505,filler,filler,3,5.638,304,2,30
R_1GIAxnek1Y1FYxU,F5x,filler,1,2.794,filler,filler,3,5.04,296,2,30
R_1GIAxnek1Y1FYxU,F6x,filler,2,7.355,filler,filler,2,6.103,298,2,30
R_1GIAxnek1Y1FYxU,F7x,filler,4,3.333,filler,filler,3,6.133,298,2,30
R_1GIAxnek1Y1FYxU,F8x,filler,2,5.4,filler,filler,1,1.349,233,2,30
R_1GIAxnek1Y1FYxU,F9x,filler,1,4.673,filler,filler,1,6.15,232,2,30
R_1GIAxnek1Y1FYxU,F10x,filler,2,2.827,filler,filler,2,15.748,246,2,30
R_1GIAxnek1Y1FYxU,F11x,filler,3,8.803,filler,filler,2,6.739,190,2,30
R_1GIAxnek1Y1FYxU,F12x,filler,3,16.518,filler,filler,0,1,242,2,30
R_1GIAxnek1Y1FYxU,F13x,filler,1,2.194,filler,filler,2,3.796,210,2,30
R_1GIAxnek1Y1FYxU,F14x,filler,1,19.601,filler,filler,2,4.154,312,2,30
R_1GIAxnek1Y1FYxU,F15x,filler,4,2.433,filler,filler,2,12.772,240,2,30
R_1GIAxnek1Y1FYxU,F16x,filler,4,5.137,filler,filler,2,8.46,295,2,30
R_1GIAxnek1Y1FYxU,F17x,filler,1,2.977,filler,filler,1,3.759,321,2,30
R_1GIAxnek1Y1FYxU,F18x,filler,1,2.504,filler,filler,3,5.081,220,2,30
R_1GIAxnek1Y1FYxU,F19x,filler,3,3.594,filler,filler,1,5.8,208,2,30
R_1GIAxnek1Y1FYxU,F20x,filler,1,5.035,filler,filler,3,4.573,286,2,30
R_1GIAxnek1Y1FYxU,F21x,filler,1,8.617,filler,filler,1,2.259,311,2,30
R_1GIAxnek1Y1FYxU,F22x,filler,1,1.55,filler,filler,2,6.329,325,2,30
R_1GIAxnek1Y1FYxU,F23x,filler,1,1.808,filler,filler,2,17.773,259,2,30
R_1GIAxnek1Y1FYxU,F24x,filler,1,9.275,filler,filler,3,6.06,339,2,30
R_Y99MuW80cFDYVoZ,I1x,critical,2,2.539,agree,somewhat,2,7.803,286,1,49
R_Y99MuW80cFDYVoZ,I2x,critical,4,4.442,disagree,fully,2,4.888,194,1,49
R_Y99MuW80cFDYVoZ,I3x,critical,4,3.238,disagree,fully,2,5.305,239,1,49
R_Y99MuW80cFDYVoZ,I4x,critical,3,2.935,disagree,somewhat,3,3.354,184,1,49
R_Y99MuW80cFDYVoZ,I5x,critical,4,1.924,disagree,fully,3,4.484,192,1,49
R_Y99MuW80cFDYVoZ,I6x,critical,1,2.102,agree,fully,3,2.548,218,1,49
R_Y99MuW80cFDYVoZ,I7x,critical,3,4.39,disagree,somewhat,3,12.656,233,1,49
R_Y99MuW80cFDYVoZ,I8x,critical,1,2.477,agree,fully,3,2.006,191,1,49
R_Y99MuW80cFDYVoZ,I9x,critical,1,1.901,agree,fully,3,4.398,175,1,49
R_Y99MuW80cFDYVoZ,I10x,critical,1,2.514,agree,fully,3,4.318,181,1,49
R_Y99MuW80cFDYVoZ,I11x,critical,2,3.104,agree,somewhat,3,1.809,153,1,49
R_Y99MuW80cFDYVoZ,I12x,critical,4,3.877,disagree,fully,3,1.928,234,1,49
R_Y99MuW80cFDYVoZ,I13x,critical,3,5.259,disagree,somewhat,2,12.104,278,1,49
R_Y99MuW80cFDYVoZ,I14x,critical,2,3.951,agree,somewhat,3,2.125,184,1,49
R_Y99MuW80cFDYVoZ,I15x,critical,1,3.371,agree,fully,1,6.966,216,1,49
R_Y99MuW80cFDYVoZ,I16x,critical,2,3.673,agree,somewhat,3,7.64,235,1,49
R_Y99MuW80cFDYVoZ,I17x,critical,1,2.875,agree,fully,2,5.907,212,1,49
R_Y99MuW80cFDYVoZ,I18x,critical,2,11.262,agree,somewhat,2,6.323,201,1,49
R_Y99MuW80cFDYVoZ,F1x,filler,2,3.742,filler,filler,2,5.874,217,1,49
R_Y99MuW80cFDYVoZ,F2x,filler,2,10.848,filler,filler,3,3.147,220,1,49
R_Y99MuW80cFDYVoZ,F3x,filler,2,4.394,filler,filler,2,5.342,191,1,49
R_Y99MuW80cFDYVoZ,F4x,filler,3,4.948,filler,filler,2,10.737,278,1,49
R_Y99MuW80cFDYVoZ,F5x,filler,2,6.5,filler,filler,1,3.108,296,1,49
R_Y99MuW80cFDYVoZ,F6x,filler,2,5.105,filler,filler,3,4.082,298,1,49
R_Y99MuW80cFDYVoZ,F7x,filler,4,3.979,filler,filler,3,3.929,298,1,49
R_Y99MuW80cFDYVoZ,F8x,filler,3,10.733,filler,filler,3,9.566,301,1,49
R_Y99MuW80cFDYVoZ,F9x,filler,4,2.849,filler,filler,3,5.011,265,1,49
R_Y99MuW80cFDYVoZ,F10x,filler,4,3.586,filler,filler,3,2.317,193,1,49
R_Y99MuW80cFDYVoZ,F11x,filler,2,4.823,filler,filler,3,4.976,209,1,49
R_Y99MuW80cFDYVoZ,F12x,filler,3,23.093,filler,filler,0,2,242,1,49
R_Y99MuW80cFDYVoZ,F13x,filler,3,3.182,filler,filler,1,2.757,264,1,49
R_Y99MuW80cFDYVoZ,F14x,filler,4,7.906,filler,filler,3,2.574,321,1,49
R_Y99MuW80cFDYVoZ,F15x,filler,4,2.621,filler,filler,3,3.362,240,1,49
R_Y99MuW80cFDYVoZ,F16x,filler,2,12.744,filler,filler,1,7.294,319,1,49
R_Y99MuW80cFDYVoZ,F17x,filler,1,5.664,filler,filler,3,3.03,321,1,49
R_Y99MuW80cFDYVoZ,F18x,filler,2,4.635,filler,filler,1,6.934,220,1,49
R_Y99MuW80cFDYVoZ,F19x,filler,3,2.481,filler,filler,1,7.576,208,1,49
R_Y99MuW80cFDYVoZ,F20x,filler,1,3.74,filler,filler,3,6.793,286,1,49
R_Y99MuW80cFDYVoZ,F21x,filler,3,13.922,filler,filler,3,4.981,260,1,49
R_Y99MuW80cFDYVoZ,F22x,filler,2,2.542,filler,filler,1,6.883,325,1,49
R_Y99MuW80cFDYVoZ,F23x,filler,1,2.186,filler,filler,3,4.248,259,1,49
R_Y99MuW80cFDYVoZ,F24x,filler,3,9.039,filler,filler,1,6.565,237,1,49
R_72tIujAU94ZVBND,I1x,critical,2,14.626,agree,somewhat,3,7.004,286,2,31
R_72tIujAU94ZVBND,I2x,critical,4,2.086,disagree,fully,3,2.569,194,2,31
R_72tIujAU94ZVBND,I3x,critical,3,3.113,disagree,somewhat,2,3.214,239,2,31
R_72tIujAU94ZVBND,I4x,critical,2,2.088,agree,somewhat,3,2.199,205,2,31
R_72tIujAU94ZVBND,I5x,critical,3,8.663,disagree,somewhat,3,3.05,192,2,31
R_72tIujAU94ZVBND,I6x,critical,3,2.655,disagree,somewhat,3,1.352,191,2,31
R_72tIujAU94ZVBND,I7x,critical,4,2.034,disagree,fully,2,3.377,233,2,31
R_72tIujAU94ZVBND,I8x,critical,4,2.082,disagree,fully,2,2.483,245,2,31
R_72tIujAU94ZVBND,I9x,critical,4,2.648,disagree,fully,3,4.043,191,2,31
R_72tIujAU94ZVBND,I10x,critical,1,2.713,agree,fully,3,1.841,181,2,31
R_72tIujAU94ZVBND,I11x,critical,3,2.997,disagree,somewhat,3,2.859,180,2,31
R_72tIujAU94ZVBND,I12x,critical,2,5.491,agree,somewhat,3,1.621,237,2,31
R_72tIujAU94ZVBND,I13x,critical,1,3.332,agree,fully,2,14.711,218,2,31
R_72tIujAU94ZVBND,I14x,critical,3,2.621,disagree,somewhat,3,1.985,199,2,31
R_72tIujAU94ZVBND,I15x,critical,1,4.441,agree,fully,3,1.476,216,2,31
R_72tIujAU94ZVBND,I16x,critical,2,2.191,agree,somewhat,3,2.639,235,2,31
R_72tIujAU94ZVBND,I17x,critical,1,2.06,agree,fully,3,1.695,212,2,31
R_72tIujAU94ZVBND,I18x,critical,1,2.381,agree,fully,2,1.226,201,2,31
R_72tIujAU94ZVBND,F1x,filler,4,3.366,filler,filler,3,3.161,211,2,31
R_72tIujAU94ZVBND,F2x,filler,2,6.373,filler,filler,1,2.939,220,2,31
R_72tIujAU94ZVBND,F3x,filler,1,2.099,filler,filler,1,3.191,191,2,31
R_72tIujAU94ZVBND,F4x,filler,2,2.37,filler,filler,1,1.859,304,2,31
R_72tIujAU94ZVBND,F5x,filler,3,5.127,filler,filler,2,6.428,215,2,31
R_72tIujAU94ZVBND,F6x,filler,3,2.497,filler,filler,3,1.865,256,2,31
R_72tIujAU94ZVBND,F7x,filler,4,3.337,filler,filler,3,1.993,298,2,31
R_72tIujAU94ZVBND,F8x,filler,3,4.26,filler,filler,3,7.798,301,2,31
R_72tIujAU94ZVBND,F9x,filler,4,3.641,filler,filler,2,2.322,265,2,31
R_72tIujAU94ZVBND,F10x,filler,2,2.871,filler,filler,1,2.251,246,2,31
R_72tIujAU94ZVBND,F11x,filler,1,4.833,filler,filler,3,1.815,209,2,31
R_72tIujAU94ZVBND,F12x,filler,1,9.798,filler,filler,1,13.492,221,2,31
R_72tIujAU94ZVBND,F13x,filler,2,2.567,filler,filler,1,2.81,210,2,31
R_72tIujAU94ZVBND,F14x,filler,3,4.172,filler,filler,3,6.244,321,2,31
R_72tIujAU94ZVBND,F15x,filler,1,3.442,filler,filler,3,7.977,255,2,31
R_72tIujAU94ZVBND,F16x,filler,2,3.79,filler,filler,3,1.348,319,2,31
R_72tIujAU94ZVBND,F17x,filler,2,2.902,filler,filler,1,5.106,321,2,31
R_72tIujAU94ZVBND,F18x,filler,2,2.72,filler,filler,1,3.229,220,2,31
R_72tIujAU94ZVBND,F19x,filler,2,1.711,filler,filler,1,1.476,208,2,31
R_72tIujAU94ZVBND,F20x,filler,2,3.19,filler,filler,3,4.539,286,2,31
R_72tIujAU94ZVBND,F21x,filler,2,11.021,filler,filler,1,1.808,311,2,31
R_72tIujAU94ZVBND,F22x,filler,3,3.469,filler,filler,1,2.75,304,2,31
R_72tIujAU94ZVBND,F23x,filler,2,1.892,filler,filler,3,4.852,259,2,31
R_72tIujAU94ZVBND,F24x,filler,3,3.82,filler,filler,2,3.261,237,2,31
R_3QVShWsXVDQG5JD,I1x,critical,1,3.185,agree,fully,3,8.524,286,1,44
R_3QVShWsXVDQG5JD,I2x,critical,2,2.856,agree,somewhat,2,8.501,176,1,44
R_3QVShWsXVDQG5JD,I3x,critical,2,2.953,agree,somewhat,3,1.681,206,1,44
R_3QVShWsXVDQG5JD,I4x,critical,2,2.514,agree,somewhat,2,2.098,205,1,44
R_3QVShWsXVDQG5JD,I5x,critical,1,2.055,agree,fully,3,1.901,193,1,44
R_3QVShWsXVDQG5JD,I6x,critical,1,1.96,agree,fully,3,3.906,218,1,44
R_3QVShWsXVDQG5JD,I7x,critical,2,2.461,agree,somewhat,2,3.441,221,1,44
R_3QVShWsXVDQG5JD,I8x,critical,2,3.517,agree,somewhat,3,5.43,191,1,44
R_3QVShWsXVDQG5JD,I9x,critical,2,5.254,agree,somewhat,2,10.913,175,1,44
R_3QVShWsXVDQG5JD,I10x,critical,1,2.334,agree,fully,3,2.621,181,1,44
R_3QVShWsXVDQG5JD,I11x,critical,1,2.885,agree,fully,3,6.201,153,1,44
R_3QVShWsXVDQG5JD,I12x,critical,2,2.849,agree,somewhat,3,1.872,237,1,44
R_3QVShWsXVDQG5JD,I13x,critical,3,3.277,disagree,somewhat,1,2.916,278,1,44
R_3QVShWsXVDQG5JD,I14x,critical,1,2.434,agree,fully,3,4.682,184,1,44
R_3QVShWsXVDQG5JD,I15x,critical,1,2.638,agree,fully,3,4.355,216,1,44
R_3QVShWsXVDQG5JD,I16x,critical,1,3.619,agree,fully,3,3.756,235,1,44
R_3QVShWsXVDQG5JD,I17x,critical,1,1.586,agree,fully,2,7.987,212,1,44
R_3QVShWsXVDQG5JD,I18x,critical,1,2.077,agree,fully,3,6.115,201,1,44
R_3QVShWsXVDQG5JD,F1x,filler,4,2.575,filler,filler,3,1.512,211,1,44
R_3QVShWsXVDQG5JD,F2x,filler,1,2.854,filler,filler,3,2.939,220,1,44
R_3QVShWsXVDQG5JD,F3x,filler,2,1.792,filler,filler,2,9.427,191,1,44
R_3QVShWsXVDQG5JD,F4x,filler,1,3.002,filler,filler,3,3.28,304,1,44
R_3QVShWsXVDQG5JD,F5x,filler,2,2.777,filler,filler,1,4.855,296,1,44
R_3QVShWsXVDQG5JD,F6x,filler,3,3.624,filler,filler,2,4.491,256,1,44
R_3QVShWsXVDQG5JD,F7x,filler,2,2.206,filler,filler,1,2.111,263,1,44
R_3QVShWsXVDQG5JD,F8x,filler,2,3.692,filler,filler,1,6.101,233,1,44
R_3QVShWsXVDQG5JD,F9x,filler,2,4.759,filler,filler,3,2.115,232,1,44
R_3QVShWsXVDQG5JD,F10x,filler,3,2.878,filler,filler,2,16.844,193,1,44
R_3QVShWsXVDQG5JD,F11x,filler,2,3.097,filler,filler,2,1.647,209,1,44
R_3QVShWsXVDQG5JD,F12x,filler,2,7.088,filler,filler,3,15.406,221,1,44
R_3QVShWsXVDQG5JD,F13x,filler,2,2.411,filler,filler,3,1.551,210,1,44
R_3QVShWsXVDQG5JD,F14x,filler,2,3.668,filler,filler,3,3.54,312,1,44
R_3QVShWsXVDQG5JD,F15x,filler,2,2.18,filler,filler,3,3.918,255,1,44
R_3QVShWsXVDQG5JD,F16x,filler,1,3.558,filler,filler,2,1.957,319,1,44
R_3QVShWsXVDQG5JD,F17x,filler,1,3.561,filler,filler,3,8.283,321,1,44
R_3QVShWsXVDQG5JD,F18x,filler,2,3.2,filler,filler,3,3.077,220,1,44
R_3QVShWsXVDQG5JD,F19x,filler,2,4.066,filler,filler,3,1.483,208,1,44
R_3QVShWsXVDQG5JD,F20x,filler,1,3.865,filler,filler,3,3.618,286,1,44
R_3QVShWsXVDQG5JD,F21x,filler,2,8.685,filler,filler,3,3.756,311,1,44
R_3QVShWsXVDQG5JD,F22x,filler,2,3.056,filler,filler,3,15.456,325,1,44
R_3QVShWsXVDQG5JD,F23x,filler,1,3.269,filler,filler,2,8.909,259,1,44
R_3QVShWsXVDQG5JD,F24x,filler,1,3.143,filler,filler,3,10.36,339,1,44
R_1eztV80jowhIVbX,I1x,critical,2,3.396,agree,somewhat,3,4.715,286,2,33
R_1eztV80jowhIVbX,I2x,critical,4,4.904,disagree,fully,3,4.935,194,2,33
R_1eztV80jowhIVbX,I3x,critical,2,4.615,agree,somewhat,3,4.313,206,2,33
R_1eztV80jowhIVbX,I4x,critical,1,2.185,agree,fully,3,6.315,205,2,33
R_1eztV80jowhIVbX,I5x,critical,2,3.803,agree,somewhat,3,8.87,193,2,33
R_1eztV80jowhIVbX,I6x,critical,2,8.164,agree,somewhat,3,6.538,218,2,33
R_1eztV80jowhIVbX,I7x,critical,3,10.846,disagree,somewhat,2,8.19,233,2,33
R_1eztV80jowhIVbX,I8x,critical,2,3.688,agree,somewhat,3,4.691,191,2,33
R_1eztV80jowhIVbX,I9x,critical,1,2.874,agree,fully,3,5.242,175,2,33
R_1eztV80jowhIVbX,I10x,critical,3,4.789,disagree,somewhat,2,16.194,211,2,33
R_1eztV80jowhIVbX,I11x,critical,1,3.261,agree,fully,1,5.176,153,2,33
R_1eztV80jowhIVbX,I12x,critical,2,8.218,agree,somewhat,2,4.719,237,2,33
R_1eztV80jowhIVbX,I13x,critical,1,3.172,agree,fully,2,11.503,218,2,33
R_1eztV80jowhIVbX,I14x,critical,1,2,agree,fully,3,5.722,184,2,33
R_1eztV80jowhIVbX,I15x,critical,1,3.76,agree,fully,3,4.836,216,2,33
R_1eztV80jowhIVbX,I16x,critical,3,4.899,disagree,somewhat,3,8.375,199,2,33
R_1eztV80jowhIVbX,I17x,critical,4,4.706,disagree,fully,3,6.032,198,2,33
R_1eztV80jowhIVbX,I18x,critical,1,2.479,agree,fully,3,5.266,201,2,33
R_1eztV80jowhIVbX,F1x,filler,4,3.928,filler,filler,1,4.426,211,2,33
R_1eztV80jowhIVbX,F2x,filler,4,2.819,filler,filler,1,9.806,300,2,33
R_1eztV80jowhIVbX,F3x,filler,1,1.708,filler,filler,2,4.78,191,2,33
R_1eztV80jowhIVbX,F4x,filler,1,4.056,filler,filler,1,6.563,304,2,33
R_1eztV80jowhIVbX,F5x,filler,3,6.006,filler,filler,1,6.918,215,2,33
R_1eztV80jowhIVbX,F6x,filler,4,2.309,filler,filler,2,8.154,256,2,33
R_1eztV80jowhIVbX,F7x,filler,1,4.483,filler,filler,2,4.126,263,2,33
R_1eztV80jowhIVbX,F8x,filler,1,6.043,filler,filler,1,6.835,233,2,33
R_1eztV80jowhIVbX,F9x,filler,2,6.858,filler,filler,1,5.139,232,2,33
R_1eztV80jowhIVbX,F10x,filler,4,4.652,filler,filler,2,7.348,193,2,33
R_1eztV80jowhIVbX,F11x,filler,1,5.233,filler,filler,2,6.616,209,2,33
R_1eztV80jowhIVbX,F12x,filler,1,3.449,filler,filler,1,7.031,221,2,33
R_1eztV80jowhIVbX,F13x,filler,4,2.918,filler,filler,3,4.524,264,2,33
R_1eztV80jowhIVbX,F14x,filler,4,3.572,filler,filler,2,7.426,321,2,33
R_1eztV80jowhIVbX,F15x,filler,2,2.333,filler,filler,2,6.358,255,2,33
R_1eztV80jowhIVbX,F16x,filler,4,3.928,filler,filler,2,5.255,295,2,33
R_1eztV80jowhIVbX,F17x,filler,1,3.183,filler,filler,2,7.001,321,2,33
R_1eztV80jowhIVbX,F18x,filler,2,5.362,filler,filler,2,20.571,220,2,33
R_1eztV80jowhIVbX,F19x,filler,4,3.421,filler,filler,1,5.503,208,2,33
R_1eztV80jowhIVbX,F20x,filler,1,6.012,filler,filler,3,12.483,286,2,33
